Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1994],1994 [YR1995],1995 [YR1995],1996 [YR1996],1998 [YR1998],2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Albania,ALB,Control of Corruption: Percentile Rank,CC.PER.RNK,..,..,..,..,..,..,19.35483932,18.18181801,23.93617058,24.33862495,22.7513237,27.58620644,22.92682838,22.92682838,28.64077759,33.98058319,34.92823029,37.1428566,24.64455032,25.11848259,24.17061615,34.13461685,36.19047546,37.61904907,40.47618866,33.33333206,31.90476227,31.90476227
Albania,ALB,Government Effectiveness: Percentile Rank,GE.PER.RNK,..,..,..,..,..,..,25.68305969,24.59016418,19.67213058,30.27026939,35.13513565,44.27860641,29.90196037,34.14634323,41.26213455,42.71844482,48.80382919,44.01913834,48.3412323,44.54976273,44.07582855,53.36538315,54.2857132,55.23809433,57.61904907,55.23809433,49.04761887,48.09523773
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,..,..,..,..,..,..,35.63829803,28.72340393,29.62962914,33.86243439,36.18090439,30.09708786,29.61165047,29.95169067,37.68115997,43.26922989,42.18009567,38.3886261,37.44075775,40.28435898,49.28910065,61.42856979,58.09523773,57.61904907,59.52381134,58.49056625,51.88679123,50
Albania,ALB,Regulatory Quality: Percentile Rank,RQ.PER.RNK,..,..,..,..,..,..,30.43478203,32.06521606,33.69565201,41.62162018,35.67567444,47.76119232,41.17647171,50.49019623,53.88349533,56.79611588,59.80861282,58.37320709,60.66350555,58.76777267,61.13743973,62.98077011,59.52381134,60.95238113,61.90476227,62.8571434,61.90476227,58.57143021
Albania,ALB,Rule of Law: Percentile Rank,RL.PER.RNK,..,..,..,..,..,..,28.64321518,19.5,18.9054718,26.86567116,28.35820961,29.32692337,28.7081337,28.22966576,30.14354134,34.13461685,37.91469193,42.65402985,41.31455231,39.90610504,38.96713638,44.23077011,44.2857132,41.90476227,38.57143021,37.1428566,38.09523773,40
Albania,ALB,Voice and Accountability: Percentile Rank,VA.PER.RNK,..,..,..,..,..,..,29.5,38.80596924,41.29353333,48.25870514,50.24875641,49.03845978,51.44230652,49.03845978,51.92307663,53.36538315,54.02843475,54.02843475,52.11267471,50.70422363,51.17370987,50.24630356,52.70935822,52.21674728,54.18719101,52.91262054,52.17391205,51.20772934
Algeria,DZA,Control of Corruption: Percentile Rank,CC.PER.RNK,..,..,..,..,..,..,33.33333206,22.99465179,16.48936081,22.7513237,29.62962914,29.06403923,40.97560883,35.12195206,33.0097084,33.49514389,30.62200928,34.76190567,34.59715652,36.01895905,39.33649445,31.25,30.47619057,30,31.90476227,28.5714283,28.09523773,27.61904716
Algeria,DZA,Government Effectiveness: Percentile Rank,GE.PER.RNK,..,..,..,..,..,..,13.11475372,19.67213058,15.8469944,31.89189148,29.72973061,36.31840897,40.19607925,40,35.92232895,33.49514389,37.79904175,41.14832687,37.91469193,40.75829315,40.28435898,41.34615326,36.66666794,35.23809433,31.4285717,35.23809433,32.8571434,31.90476227
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,..,..,..,..,..,..,5.319149017,4.787233829,10.05290985,6.878306866,5.527637959,10.67961121,20.38834953,15.942029,14.00966167,14.90384579,13.27014256,11.84834099,10.42654037,9.478672981,12.79620838,9.523809433,11.90476227,12.38095284,15.71428585,17.92452812,13.20754719,17.92452812
Algeria,DZA,Regulatory Quality: Percentile Rank,RQ.PER.RNK,..,..,..,..,..,..,20.10869598,19.02173996,23.36956596,32.97297287,36.21621704,36.81592178,43.62745285,33.33333206,31.55339813,29.12621307,18.18181801,13.87559795,9.478672981,9.004739761,12.32227516,8.17307663,7.619047642,9.523809433,9.047618866,8.095237732,7.142857075,8.571428299
