Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1994],1994 [YR1995],1995 [YR1995],1996 [YR1996],1998 [YR1998],2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Albania,ALB,Control of Corruption: Estimate,CC.EST,..,..,..,..,..,..,-0.893903494,-0.992024779,-0.855563641,-0.845340908,-0.853786588,-0.723731816,-0.813263893,-0.790545285,-0.706940055,-0.60521239,-0.54527092,-0.531616509,-0.701794147,-0.778729439,-0.751372695,-0.586571813,-0.545140803,-0.472373724,-0.48138684,-0.546018898,-0.564274073,-0.57353878
Albania,ALB,Government Effectiveness: Estimate,GE.EST,..,..,..,..,..,..,-0.688587904,-0.732602537,-0.917780161,-0.624333382,-0.563986719,-0.408371657,-0.696387231,-0.580952644,-0.427722543,-0.367063493,-0.25594148,-0.279453218,-0.202177078,-0.268925011,-0.324457377,-0.04977081,0.027575254,0.029082362,0.098552845,0.080524534,-0.062300701,-0.155121222
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,..,..,..,..,..,..,-0.336625129,-0.544004202,-0.539989591,-0.297719181,-0.30978024,-0.427259684,-0.505047977,-0.508157313,-0.203974649,-0.030500913,-0.045140512,-0.191482902,-0.282379419,-0.143631592,0.091929786,0.485986233,0.341639042,0.337447882,0.373770744,0.366779268,0.110105053,0.088612519
Albania,ALB,Regulatory Quality: Estimate,RQ.EST,..,..,..,..,..,..,-0.474401653,-0.441555828,-0.415910125,-0.311400771,-0.490216553,-0.187491566,-0.400731236,-0.148599386,0.034550302,0.137666509,0.241446003,0.233281955,0.283972561,0.240491986,0.254160255,0.279037684,0.174237311,0.186607629,0.220610321,0.256079823,0.272065461,0.221967235
Albania,ALB,Rule of Law: Estimate,RL.EST,..,..,..,..,..,..,-0.6844818,-0.929671705,-1.020667672,-0.762321413,-0.716323495,-0.701032341,-0.763833165,-0.703135848,-0.661545992,-0.600079298,-0.494370162,-0.385760486,-0.442926466,-0.519839764,-0.518828869,-0.311199099,-0.3196868,-0.322631985,-0.414191574,-0.414752036,-0.426317364,-0.378028214
Albania,ALB,Voice and Accountability: Estimate,VA.EST,..,..,..,..,..,..,-0.648297846,-0.387372851,-0.285138667,-0.00815021,0.070307687,0.007237499,0.003671788,0.07588996,0.113008469,0.174939081,0.141477332,0.123838224,0.062333763,0.022064038,0.048864443,0.143689781,0.157135263,0.171097502,0.203885168,0.188786596,0.141965285,0.086325444
Algeria,DZA,Control of Corruption: Estimate,CC.EST,..,..,..,..,..,..,-0.56674093,-0.916649282,-0.987298191,-0.928754985,-0.715244472,-0.699272692,-0.466420472,-0.564962566,-0.592309475,-0.633444846,-0.614938259,-0.552147269,-0.572699666,-0.521544516,-0.472966939,-0.613117993,-0.639462769,-0.673700511,-0.598896265,-0.658903956,-0.656169534,-0.666826963
Algeria,DZA,Government Effectiveness: Estimate,GE.EST,..,..,..,..,..,..,-1.088766456,-0.883071959,-1.01074934,-0.614207327,-0.674277365,-0.559222877,-0.446233422,-0.43816179,-0.537276387,-0.603184521,-0.534546137,-0.39590171,-0.520578742,-0.447385341,-0.431544006,-0.33986479,-0.410829484,-0.464708805,-0.53702414,-0.488536388,-0.567920983,-0.573643208
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,..,..,..,..,..,..,-1.783310533,-1.8789047,-1.432577372,-1.634565115,-1.754409075,-1.359188437,-0.91366601,-1.126413465,-1.150585532,-1.095846295,-1.196913481,-1.259367585,-1.360560656,-1.325043321,-1.202371478,-1.190535188,-1.090786576,-1.099741936,-0.919614315,-0.842107713,-1.055853844,-0.847820401
Algeria,DZA,Regulatory Quality: Estimate,RQ.EST,..,..,..,..,..,..,-0.907437265,-0.881358743,-0.71020937,-0.574951589,-0.481900811,-0.441777736,-0.341526747,-0.500463128,-0.522581637,-0.624736011,-0.964235187,-1.104800701,-1.212379932,-1.320389032,-1.138440609,-1.30188942,-1.256905794,-1.241429925,-1.279498816,-1.346901417,-1.388313293,-1.355300307
